8731952;BON SECOUR, AL;-87.73500000;30.30333333;Mar 14, 1980;Dec 11, 1986;0.23377;0.22063;0.0;-0.22460;-0.23577;0.10367;0.08467
8739803;Bayou La Batre Bridge, AL;-88.24833333;30.40666666;Apr 22, 2011;present;-999999;-999999;0.0;-999999;-999999;-999999;-999999
8737138;Chickasaw Creek, AL;-88.07333333;30.78166666;Apr 22, 2011;present;-999999;-999999;0.0;-999999;-999999;-999999;-999999
8736897;Coast Guard Sector Mobile, AL;-88.05833333;30.64833333;Aug 03, 2007;present;0.24900;0.22001;0.0;-0.21922;-0.24864;0.12572;0.14473
8735184;DAUPHIN ISLAND (TEMP), AL;-88.08000000;30.25166666;Oct 30, 1979;Apr 16, 1981;0.17207;0.16903;0.0;-0.18900;-0.19503;0.11993;0.10460
8735181;Dauphin Island Hydro, AL;-88.08000000;30.25166666;Mar 15, 1978;Nov 16, 2010;0.17207;0.16903;0.0;-0.18900;-0.19503;0.11993;0.10460
8735180;Dauphin Island, AL;-88.07500000;30.25000000;Mar 30, 1966;present;0.17200;0.16900;0.0;-0.18900;-0.19500;0.11711;0.10199
8735391;Dog River Bridge, AL;-88.08833333;30.56500000;Sep 08, 2010;present;0.24277;0.21717;0.0;-0.21613;-0.24493;0.12497;0.13811
8735523;East Fowl River Bridge, AL;-88.11333333;30.44333333;Mar 24, 1980;present;-999999;-999999;0.0;-999999;-999999;-999999;-999999
8731269;GULF SHORES, AL;-87.66833333;30.24833333;Mar 28, 1980;Mar 30, 1981;0.19073;0.17612;0.0;-0.18283;-0.20352;0.12252;0.09110
8731439;Gulf Shores, ICWW, AL;-87.68500000;30.28000000;Oct 17, 2008;Mar 17, 2011;0.17340;0.14740;0.0;-0.16740;-0.17750;0.12252;0.09526
8737373;Lower Bryant Landing, AL;-87.87333333;30.97833333;Jun 22, 2004;Aug 20, 2007;-999999;-999999;0.0;-999999;-999999;-999999;-999999
8733839;Meaher State Park, Mobile Bay, AL;-87.93666666;30.66666666;Nov 03, 2010;Feb 10, 2011;0.25050;0.21920;0.0;-0.21480;-0.25171;0.09777;0.13935
8737048;Mobile State Docks, AL;-88.04000000;30.70500000;Mar 24, 1980;present;0.25560;0.23550;0.0;-0.21970;-0.24390;0.12543;0.15092
8735587;NORTH POINT, DAUPHIN ISLAND, AL;-88.11333333;30.25833333;Apr 05, 1980;Jan 07, 1981;0.25900;0.22900;0.0;-0.22600;-0.24700;0.12880;0.11305
8730849;PETERSON POINT, WOLF BAY, AL;-87.60000000;30.35500000;Jan 04, 1994;Mar 31, 1994;0.11190;0.10310;0.0;-0.11220;-0.12200;0.13624;0.11508
8733821;Point Clear, Mobile Bay, AL;-87.93500000;30.48666666;Nov 01, 2010;Feb 05, 2011;0.23353;0.20813;0.0;-0.21100;-0.24020;0.11747;0.12277
8732828;Weeks Bay, Mobile Bay, AL;-87.82500000;30.41666666;Aug 23, 2007;present;-999999;-999999;0.0;-999999;-999999;-999999;-999999
8738043;West Fowl River Bridge, AL;-88.15833333;30.37666666;Apr 22, 2011;present;-999999;-999999;0.0;-999999;-999999;-999999;-999999
9455120;AGNES COVE, AK;-149.58833333;59.77333333;Aug 15, 2001;Sep 20, 2001;-999999;-999999;0.0;-999999;-999999;-999999;-999999
9456901;AGUCHIK ISLAND, KUKAK BAY, AK;-154.27000000;58.29000000;May 23, 2000;Jun 26, 2000;-999999;-999999;0.0;-999999;-999999;-999999;-999999
